HTH_XRE	56	WP_003872175.1	210	7.6e-05	3	30	10	56	0.482142857142857
HTH_XRE	56	WP_003872292.1	132	5.8e-08	17	56	35	75	0.696428571428571
HTH_XRE	56	WP_003872307.1	249	8.9e-07	2	34	149	187	0.571428571428571
HTH_XRE	56	WP_003872347.1	189	3.1e-21	1	56	14	69	0.982142857142857
HTH_24	48	WP_003872375.1	193	7e-06	17	37	34	54	0.416666666666667
HTH_24	48	WP_003872469.1	148	9e-19	1	48	4	51	0.979166666666667
HTH_24	48	WP_003872548.1	161	1.2e-05	7	47	47	87	0.833333333333333
HTH_XRE	56	WP_003872558.1	140	3.3e-06	10	32	3	25	0.392857142857143
HTH_24	48	WP_003872618.1	253	3.6e-05	22	47	43	68	0.520833333333333
HTH_XRE	56	WP_003872666.1	178	2e-19	2	54	5	57	0.928571428571429
HTH_24	48	WP_003872953.1	245	9.8e-05	19	43	47	71	0.5
HTH_24	48	WP_003873049.1	217	1e-05	17	43	170	196	0.541666666666667
HTH_24	48	WP_003873176.1	230	3.2e-07	22	47	39	64	0.520833333333333
DUF1870	118	WP_003873387.1	134	3.9e-05	9	52	70	113	0.364406779661017
HTH_XRE	56	WP_003873388.1	102	2e-13	1	50	33	83	0.875
HTH_24	48	WP_003873600.1	236	2.4e-05	21	44	38	61	0.479166666666667
HTH_XRE	56	WP_003873623.1	86	2.8e-13	6	53	32	79	0.839285714285714
HTH_24	48	WP_003873725.1	444	0.0002	23	48	63	88	0.520833333333333
HTH_XRE	56	WP_003873735.1	138	1.1e-17	1	54	25	78	0.946428571428571
HTH_24	48	WP_003874237.1	153	3.4e-06	3	46	40	83	0.895833333333333
HTH_24	48	WP_003874267.1	249	0.00056	22	47	38	63	0.520833333333333
HTH_24	48	WP_003874304.1	151	7e-08	16	48	54	86	0.666666666666667
HTH_XRE	56	WP_003874318.1	334	9.9e-05	14	41	21	50	0.482142857142857
HTH_XRE	56	WP_003874323.1	194	2.1e-07	3	30	27	57	0.482142857142857
HTH_XRE	56	WP_003874331.1	206	2.9e-07	12	37	40	65	0.446428571428571
HTH_24	48	WP_003874513.1	150	1.1e-13	1	48	5	52	0.979166666666667
HTH_XRE	56	WP_003874563.1	210	8.1e-07	10	49	42	81	0.696428571428571
HTH_XRE	56	WP_003874585.1	208	3.1e-05	12	31	37	56	0.339285714285714
HTH_24	48	WP_003874589.1	158	1.7e-06	24	48	52	76	0.5
HTH_24	48	WP_003874665.1	221	2.7e-05	9	39	166	194	0.625
HTH_24	48	WP_003874670.1	222	1.6e-06	11	43	160	190	0.666666666666667
HTH_24	48	WP_003874716.1	225	2.7e-08	17	48	174	205	0.645833333333333
HTH_24	48	WP_003874892.1	150	1.5e-10	5	48	35	78	0.895833333333333
HTH_24	48	WP_003874961.1	188	3.4e-05	18	46	65	93	0.583333333333333
HTH_XRE	56	WP_003875201.1	108	6.8e-16	2	53	13	64	0.910714285714286
HTH_24	48	WP_003875289.1	295	1e-05	16	46	25	55	0.625
HTH_24	48	WP_003875343.1	234	3.8e-08	5	48	23	67	0.895833333333333
HTH_24	48	WP_003875408.1	201	5.8e-06	4	48	2	46	0.916666666666667
HTH_XRE	56	WP_003875484.1	200	2e-06	12	36	32	56	0.428571428571429
HTH_XRE	56	WP_003875562.1	197	2.4e-05	6	34	34	62	0.5
HTH_24	48	WP_003875823.1	110	1.1e-07	15	42	16	43	0.5625
HTH_24	48	WP_003875876.1	270	1.6e-05	23	48	51	76	0.520833333333333
HTH_XRE	56	WP_003876169.1	138	7.7e-05	11	32	2	23	0.375
HTH_XRE	56	WP_003876447.1	269	3.5e-06	10	31	236	257	0.375
HTH_XRE	56	WP_003876450.1	224	2.7e-06	10	35	35	60	0.446428571428571
HTH_XRE	56	WP_003876495.1	233	2.8e-05	6	46	32	73	0.714285714285714
HTH_24	48	WP_003876698.1	195	0.00011	15	39	30	54	0.5
HTH_26	63	WP_003876878.1	114	7.2e-22	1	63	8	76	0.984126984126984
HTH_26	63	WP_003876921.1	213	7.7e-05	10	36	42	67	0.412698412698413
HTH_24	48	WP_003877056.1	224	3.8e-06	18	48	175	205	0.625
HTH_24	48	WP_003877196.1	273	5.1e-05	21	47	49	75	0.541666666666667
HTH_24	48	WP_003877326.1	158	2.6e-05	17	37	3	23	0.416666666666667
HTH_24	48	WP_003877836.1	278	2.8e-06	16	43	26	53	0.5625
HTH_24	48	WP_003878263.1	162	3.7e-06	7	48	45	86	0.854166666666667
HTH_24	48	WP_003878502.1	121	5e-05	19	44	42	67	0.520833333333333
HTH_24	48	WP_003878619.1	229	4.4e-07	22	46	29	53	0.5
HTH_24	48	WP_003878623.1	232	1.5e-05	8	48	30	76	0.833333333333333
HTH_24	48	WP_003878704.1	140	1.7e-07	11	43	43	75	0.666666666666667
HTH_24	48	WP_003878969.1	262	2.5e-06	17	38	229	250	0.4375
HTH_XRE	56	WP_003879074.1	183	3.1e-06	10	34	36	60	0.428571428571429
HTH_XRE	56	WP_003879261.1	220	2.2e-06	11	50	42	81	0.696428571428571
HTH_XRE	56	WP_003879296.1	474	6.2e-15	1	55	9	63	0.964285714285714
HTH_XRE	56	WP_010948703.1	262	4.5e-14	2	53	10	61	0.910714285714286
HTH_24	48	WP_010948855.1	395	3.4e-05	17	46	21	50	0.604166666666667
HTH_24	48	WP_010948875.1	190	8.5e-05	18	37	28	47	0.395833333333333
HTH_24	48	WP_010948880.1	215	1.5e-05	19	37	177	195	0.375
HTH_XRE	56	WP_010949228.1	198	1.2e-05	2	26	35	61	0.428571428571429
HTH_24	48	WP_010949393.1	901	7.8e-05	16	37	831	852	0.4375
HTH_24	48	WP_010950039.1	296	2.1e-05	8	43	25	61	0.729166666666667
HTH_XRE	56	WP_010950184.1	235	4.7e-06	10	42	44	76	0.571428571428571
HTH_24	48	WP_010950269.1	168	3.6e-05	16	47	74	105	0.645833333333333
HTH_24	48	WP_015632568.1	224	2.3e-05	9	47	40	80	0.791666666666667
HTH_26	63	WP_016705884.1	87	1e-12	1	58	9	65	0.904761904761905
HTH_24	48	WP_016706187.1	252	2.8e-11	4	45	24	65	0.854166666666667
HTH_24	48	WP_019305959.1	167	9.8e-07	5	48	46	89	0.895833333333333
HTH_24	48	WP_019306675.1	850	7.3e-05	16	37	804	825	0.4375
HTH_XRE	56	WP_033706130.1	222	1.2e-05	11	34	38	61	0.410714285714286
HTH_XRE	56	WP_033706237.1	421	0.00089	13	38	243	271	0.446428571428571
HTH_24	48	WP_033706428.1	108	2.1e-07	5	43	20	57	0.791666666666667
HTH_24	48	WP_033706525.1	341	3e-11	2	48	3	49	0.958333333333333
HTH_24	48	WP_033706525.1	341	8.7e-12	8	45	184	221	0.770833333333333
HTH_24	48	WP_033707750.1	134	9e-06	20	47	72	99	0.5625
HTH_XRE	56	WP_033707753.1	474	3.1e-16	1	55	9	63	0.964285714285714
